customer_name,product_name,quantity,order_date
Alice Johnson,Organic Green Tea,3,2025-08-12
Charlie Brown,Denim Jeans,1,2025-09-05
Bob Smith,Wireless Bluetooth Headphones,2,2025-09-18
George Costanza,Yoga Mat,1,2025-10-03
Ethan Hunt,Face Moisturizer,4,2025-10-22
Alice Johnson,Smart LED Bulb,1,2025-11-07
Diana Prince,Stainless Steel Water Bottle,2,2025-11-19
Ian Malcolm,Children's Picture Book,1,2025-12-01
Bob Smith,Denim Jeans,3,2025-12-14
Fiona Gallagher,Organic Green Tea,1,2025-12-25
Hannah Baker,Wireless Bluetooth Headphones,2,2026-01-03
Julia Roberts,Yoga Mat,1,2026-01-10
Charlie Brown,Smart LED Bulb,5,2026-01-15
George Costanza,Organic Green Tea,2,2026-01-18
Ethan Hunt,Stainless Steel Water Bottle,1,2026-01-20
Ian Malcolm,Face Moisturizer,2,2026-01-22
Diana Prince,Children's Picture Book,1,2026-01-23
Fiona Gallagher,Denim Jeans,3,2026-01-25
Hannah Baker,Smart LED Bulb,1,2026-01-26
Julia Roberts,Wireless Bluetooth Headphones,2,2026-01-27
